Replicate,Sample Mean
Replicate_1,0.7505398554727435
Replicate_2,0.750133969001472
Replicate_3,0.750064052902162
Replicate_4,0.7525810147449374
Replicate_5,0.7506004758365452
Replicate_6,0.7496022005192935
Replicate_7,0.748439423609525
Replicate_8,0.7519529908709228
Replicate_9,0.7502650443278253
Replicate_10,0.7481200595386326
Replicate_11,0.7499804682843387
Replicate_12,0.7509387983568012
Replicate_13,0.7498334124311805
Replicate_14,0.7500864298455417
Replicate_15,0.749892577957362
Replicate_16,0.7503222910873592
Replicate_17,0.7507881160080433
Replicate_18,0.7528565163724125
Replicate_19,0.7498954600468278
Replicate_20,0.7498779971711338
Replicate_21,0.750020673200488
Replicate_22,0.7524024027399718
Replicate_23,0.7521942140720784
Replicate_24,0.7502877366542816
Replicate_25,0.7500000012852251
Replicate_26,0.7471101445890963
Replicate_27,0.7499936251528561
Replicate_28,0.746564554926008
Replicate_29,0.7506051626428962
Replicate_30,0.7501696874387562
Replicate_31,0.7500756847672164
Replicate_32,0.7474999994039535
Replicate_33,0.7493725283816457
Replicate_34,0.7474999810568989
Replicate_35,0.7507769670151174
Replicate_36,0.7492577492259442
Replicate_37,0.7537500022165478
Replicate_38,0.749975516628474
Replicate_39,0.74996785601601
Replicate_40,0.7527734344825149
Replicate_41,0.7488278145901859
Replicate_42,0.7499990207143128
Replicate_43,0.7500648302957416
Replicate_44,0.7529698218032718
Replicate_45,0.7537482450716197
Replicate_46,0.7504033437930048
Replicate_47,0.7528159819357098
Replicate_48,0.7484620447456837
Replicate_49,0.7497973666153848
Replicate_50,0.749995089136064
Replicate_51,0.7472543234005571
Replicate_52,0.7536352522857487
Replicate_53,0.750100087672472
Replicate_54,0.7493676153756678
Replicate_55,0.751265036277473
Replicate_56,0.7525011752173305
Replicate_57,0.7474218936637044
Replicate_58,0.7499877668730914
Replicate_59,0.7515719003789126
Replicate_60,0.7501365779154002
Replicate_61,0.7521091435663402
Replicate_62,0.7489559976570308
Replicate_63,0.7501561219803989
Replicate_64,0.7496875008754432
Replicate_65,0.7487701316177845
Replicate_66,0.750021318923682
Replicate_67,0.7512078805081547
Replicate_68,0.7501562495343387
Replicate_69,0.7500012451969087
Replicate_70,0.7512890524230897
Replicate_71,0.7498498511873186
Replicate_72,0.7499677555263042
Replicate_73,0.7509007027000189
Replicate_74,0.746888417918235
Replicate_75,0.7531207437999546
Replicate_76,0.7487518521398306
Replicate_77,0.7510473244078457
Replicate_78,0.7499949831329286
Replicate_79,0.7495743177644908
Replicate_80,0.7498633187822997
Replicate_81,0.7491796870343387
Replicate_82,0.7503949661366641
Replicate_83,0.7496307427808643
Replicate_84,0.7513391108438373
Replicate_85,0.749998959954828
Replicate_86,0.7500219721533358
Replicate_87,0.7512486216053367
Replicate_88,0.7518746192939579
Replicate_89,0.7532443621568382
Replicate_90,0.7493953602015972
Replicate_91,0.7503123121894896
Replicate_92,0.7498411943949759
Replicate_93,0.750002445820719
Replicate_94,0.7478097344003618
Replicate_95,0.753120018299669
Replicate_96,0.7503117938153445
Replicate_97,0.7499927129969001
Replicate_98,0.7532752801477909
Replicate_99,0.749853515792638
Replicate_100,0.747497516721487
