setting,accuracy,balanced_accuracy,precision,recall,f1,model,train_domain,test_domain,domain_type,setting_short
Train RED -> Test RED (in-domain),0.746875,0.7502060520428588,0.8,0.7017543859649122,0.7476635514018691,LogReg,RED,RED,in-domain,R→R
Train RED -> Test WHITE (cross-domain),0.6,0.6642096642096642,0.8715596330275229,0.4545454545454545,0.5974842767295597,LogReg,RED,WHITE,cross-domain,R→W
Train WHITE -> Test WHITE (in-domain),0.7125,0.7249881460407777,0.8461538461538461,0.6842105263157895,0.7566137566137566,LogReg,WHITE,WHITE,in-domain,W→W
Train WHITE -> Test RED (cross-domain),0.546875,0.5751599356332666,0.9333333333333332,0.1637426900584795,0.2786069651741293,LogReg,WHITE,RED,cross-domain,W→R
Train RED -> Test RED (in-domain),0.79375,0.7949291573452648,0.8260869565217391,0.7777777777777778,0.8012048192771084,RF,RED,RED,in-domain,R→R
Train RED -> Test WHITE (cross-domain),0.61875,0.6236475710159921,0.7604790419161677,0.6076555023923444,0.675531914893617,RF,RED,WHITE,cross-domain,R→W
Train WHITE -> Test WHITE (in-domain),0.8125,0.7761972498814604,0.8311111111111111,0.8947368421052632,0.8617511520737328,RF,WHITE,WHITE,in-domain,W→W
Train WHITE -> Test RED (cross-domain),0.571875,0.595961379959967,0.84,0.2456140350877192,0.3800904977375565,RF,WHITE,RED,cross-domain,W→R
Train RED -> Test RED (in-domain),0.74375,0.7459868911652734,0.7870967741935484,0.7134502923976608,0.7484662576687117,MLP,RED,RED,in-domain,R→R
Train RED -> Test WHITE (cross-domain),0.621875,0.649273675589465,0.8013698630136986,0.5598086124401914,0.6591549295774648,MLP,RED,WHITE,cross-domain,R→W
Train WHITE -> Test WHITE (in-domain),0.725,0.666968403810509,0.7552742616033755,0.8564593301435407,0.8026905829596412,MLP,WHITE,WHITE,in-domain,W→W
Train WHITE -> Test RED (cross-domain),0.665625,0.6819537658463832,0.8636363636363636,0.4444444444444444,0.5868725868725869,MLP,WHITE,RED,cross-domain,W→R
